RowNames	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Laceyella	0	0	0	0	0	0	0	0	0	0.00168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus	0	0	0	0	0	0	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	11.59914	8.82067	0.36278	0	48.68858	5.16431	0	0.08994	0	32.29103	1.03431	4.69556	0	0.74252	35.96074	11.86051	15.54011	56.10637	24.93477	31.06277	23.01171	6.29277	7.98519	27.41292	1.37653	2.55863	0	7.22125	24.41768	9.46713	0	2.50022	0	3.46618	17.81538	0	0.59181	2.33714	0.05771	0	0.0749	0	0	1.27591	1.14698	6.10399	31.75831	3.76743	0	8.96686	17.76437	26.39225	16.82186	0	2.50093	6.67668	0	0.17474	7.19447	0.19275
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_halotolerans	0	0	0	0	0	0	0	0	0.22085	12.20841	0	3.02359	1.4885	0	0.00581	0	0	0.05992	0	0.01426	0	0	0.01852	0.38752	0	0	0	0	0	0	0	0.07328	0	0	0.03387	0	0.03894	4.06668	0	0	0	0	0	0	0	0	0	0.00106	0	0	0	0	0.00247	0	1.0745	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__GGB28302|s__GGB28302_SGB40871	0	0	0	0	0	0	0	0	21.7479	10.11612	0	0	0	43.72256	12.71392	2.85444	0	0.98283	0	0	0	1.25503	0	0	12.24625	54.62057	0	0	14.8769	0.72972	0	0	0	0	0	0	0	0.25575	0	0	0	32.41901	0.75221	0	0	0	0.96577	0.2118	51.17195	0	0	0.01378	0	0.01891	0.38466	0	2.9342	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	18.27818	0	14.81423	36.52283	4.4478	21.37336	22.13861	21.26472	11.48206	5.79406	8.07158	8.97806	3.38466	5.2419	2.00695	5.29425	4.9581	0.63749	0.43452	0.93183	0.07979	0.9125	2.27102	1.04987	8.45186	2.02241	2.85768	2.11414	0.96267	0.2769	14.63331	22.57412	17.65804	15.67994	2.45033	15.08853	19.91183	0.04813	11.729	11.36741	16.8886	7.91442	0.75719	1.73262	1.78174	0.8041	1.54201	0.43272	0	2.29379	1.107	1.22001	0.51808	0	0.03719	0.59875	0.45265	0.25278	2.82897	0.25495
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_lanienae	0	0	0	1.11904	0	0	0	0	0	4.74715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69706	0	13.9938	0	0	0	0	0	0	0	0	0	0	0	0	34.21142	0	0	0	2.68091	0	29.75251	0	0	0	0	0	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes	0	0	0	0	0	0	0	0	0	4.237	0	8.67996	0	0	0	0	15.51941	0	0.04601	0	6.08356	11.4439	0	2.6792	0	0.33838	8.54284	0	10.08364	13.02873	0	0	0	0	0	0	0	0.14906	0	0	0	0	4.21791	5.17111	9.05351	0	14.5066	0	11.64181	9.67182	3.03289	5.64353	34.52878	0	0.24702	0	25.92164	13.764	12.08583	19.05368
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_telephonicus	0	0	0	0	0.31698	0	0	0	0	2.8795	0	0.84005	0.12566	0	0	0	0	0	0	0	0	0	0	0.02382	0	0	0	0	0	0	0	0	0	0	0.43544	0	0.02289	0.32578	0	0	0	0	0	0	0	0.01633	0.21118	0	0	0	0	0	0	0	0.07475	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium	0	1.11045	0.2359	0.777	0.20942	0.51416	1.06399	0	3.54876	2.07735	1.10504	3.953	4.74464	1.35005	1.02291	2.02952	0.97908	1.4834	1.84728	2.94741	2.8983	1.08535	4.42322	0.47787	4.03089	2.70103	4.04111	1.28706	2.56382	4.73738	0.07744	0.27227	0.07157	1.10241	1.7461	0.13683	0.37559	0.65431	0.01114	0.17109	0.01618	0.50931	2.16431	2.62893	4.20634	1.06924	1.34947	1.53589	2.08671	0.34922	5.99142	2.71401	2.47403	2.0508	0.94579	0.93998	2.46149	1.22442	0.81848	2.1208
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_thermosphaericus	0	0	0	0	0	0	0	0	0	2.03733	0	1.06712	0.02979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pradoshia|s__Pradoshia_eiseniae	0	0	0	0	0.07029	0	0	0	0	1.93707	0	0	0	0	0	0	0	0	0.07598	0	0	0	0	0.12334	0	0	0	0	0	0	0	0.12333	0	0.82574	3.54611	0	0	0.11236	0	0	0	0	0	0	0	0	0.03253	0	0	0	0	0.05783	0	0	0	0	0	0	0.20342	0
k__Bacteria|p__Firmicutes|c__CFGB8207|o__OFGB8207|f__FGB8207|g__GGB25212|s__GGB25212_SGB37145	0	0	0	0	0	0	0	0	5.47036	1.75208	0.24091	0.24645	0.70716	7.23836	0.01943	0.18712	4.27902	0.36209	1.82627	1.05179	1.48511	0.46331	0.69246	0	0.42511	0.88041	0.46486	0.75809	0.87274	0.4559	0	0	0	0	0	0	0	0.00676	0	0	0	1.71096	0.28281	1.60666	2.9454	3.00239	0.77788	0.78298	0.18859	0	0.6158	1.29491	1.43067	0.16117	0.05942	0.52544	0.33744	0.23858	0.00277	0.06512
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__GGB24075|s__GGB24075_SGB35861	0	0	0	0	0	0	0	0	0	1.6684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95291	0	0	0	0	0	0	0	0	0.6596	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB27936|s__GGB27936_SGB40375	0	0	0	0	0	0	0	0	0	1.59516	0	0	0	0.07193	5.01453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.72247	0	0	0	0	0	0	0	5.00312	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_massiliensis	0	0	0.00453	0	0.28804	0.00276	0	0	0.00232	1.39596	0	0.26926	0.05203	0	0	0	0	0	0	0	0	0	0	0.05142	0	0	0	0	0	0	0	0.02417	0	0.18568	0.58713	0	0.04269	0.19521	0	0	0	0	0	0	0	0.01162	0.07277	0	0	0	0	0	0	0	0.03963	0	0	0	0.0121	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_bacterium	0	0	0.14276	0	0	0	0	0	0	1.12671	0	1.75638	0	0.00363	3.62239	1.20837	2.80931	0	3.90674	0	14.32006	12.25049	0.19927	3.04366	0.49998	0.4694	0.51069	6.99579	0.04954	0.93812	0	0	0	0.19173	0.39623	0	0.1644	2.37244	0.45985	0	0.04623	0	15.37805	1.54277	0.15264	0.23003	8.07216	7.34437	7.62036	9.6232	1.3735	2.51212	0.63224	8.93921	3.50384	24.71243	5.26938	0.11733	2.53522	12.24819
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27182|s__GGB27182_SGB39401	0.06549	1.09648	0.06246	0.09576	0.07592	0.001	0.32477	0.23489	3.31921	1.04427	2.13028	0.6674	0.57887	0.41225	0.15597	0.23585	2.02258	0.9642	3.04301	0.78836	2.13161	0	0.06365	0.00196	0.48494	0.10089	0.20109	2.82695	1.00498	0.05042	0.11501	0.26786	0.15238	1.87186	5.70582	0.10448	0.59774	0.24539	0.27969	0.18952	0.18859	0.80822	4.13918	0.41957	1.29329	1.15621	0	1.25558	0.47913	0.18326	0	0.2418	0.95675	0.15783	0.15188	4.84515	0.32861	0.03493	0.09428	0.88717
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus	0	0	0	0	0	0.02372	0	0	0	0.83822	0	0	0	0	0	0	0.611	0	0.35083	0	0	0	0	0.39547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66577	0.24519	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_endophyticus	0	0	0.00968	0	0.02572	0	0	0	0	0.80446	0	0.22291	0.0764	0	0	0	0	0	0	0	0	0	0	0.04834	0	0	0	0.01864	0	0	0	0.00363	0	0	0.24275	0	0.06787	0.20849	0	0	0	0	0	0	0	0	0.0321	0	0	0	0	0	0	0	0.04069	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_niabensis	0	0	0	0	0	0	0	0	0	0.75053	0	0.0603	0.01509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1145	0	0	0.03524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis	1.07283	0	1.78585	1.97775	0.31543	1.28068	1.45223	1.75723	1.08968	0.7497	2.38192	1.40863	0.70118	0.50251	0.35802	1.23338	1.69461	0	0.00586	0.30806	0	0.16929	0.37753	0.31562	1.42714	0.30685	0.50587	0.75354	0.34704	0	0.84137	1.73894	1.50639	2.26038	0.18355	0.87457	1.54461	0	0.85518	1.93673	1.22321	0.89418	0.24923	0.83295	0.63352	0.21025	0.30144	0.09027	0	0.92775	0.07344	0.1184	0.05285	0	0	0.0088	0.15028	0	0.70386	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_sp_Re31	0	0	0	0	0	0	0	0	0.00193	0.6673	0	0.05178	0.08965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05134	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9158|o__OFGB9158|f__FGB9158|g__GGB27106|s__GGB27106_SGB45239	2.35843	0	3.25937	6.20366	0.04475	2.02184	22.08868	6.12377	8.08291	0.56371	22.30656	0	4.68551	5.18336	0	0.16236	0.30875	0.00449	0	0	0	0.14976	0.07293	0	0	0.97904	0.0553	0	0	0	3.30102	3.82547	4.9624	0	0	1.739	0.50539	0.93151	0.00354	4.46827	0.85736	3.81503	0	0	0	0	0	0	0.58359	0	0	0	0.0577	0	0.48796	0	0.23741	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacteraceae_unclassified|s__Paludibacteraceae_bacterium	0.06969	8.84339	0.96938	0	1.43524	0.10296	10.2876	0.00478	0	0.54891	0.10946	0	1.11534	0.02443	0.01438	2.92718	0.85405	0	0.31244	0	1.41173	0.31133	0.06596	7.65252	0	0	0	0	2.15073	2.51133	0	0	0.01761	0.9378	0.10893	0	0	0.67558	31.47524	0	0.28931	0	9.5342	0.4356	7.17355	0	0.53985	0	0.29829	17.85333	0.63601	0	0	0	0.19837	0	8.16132	0.40885	1.13821	5.00546
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_licheniformis	0	0	0	0	0	0	0	0	0	0.51852	0	0.1219	0.01022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Desemzia|s__Desemzia_incerta	0	0	0.10802	0	0	0.06234	0	0	0.08856	0.51179	0	0.10012	0	0	0	0	0.14351	0.74026	0.22894	0.16283	0.17497	4.21865	0	0.00578	0	0	0	0	0	0.46602	0	0	0	0	0	0	0	0.66896	0	0	0	0	0.14581	0.00244	0	0.04999	0.01011	0.37159	0	0.03148	0.40829	1.01043	0.12265	0	0.18789	0.03417	0	0	0	0.38693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB4482|s__GGB4482_SGB6176	0.68441	0	1.27908	1.13461	0.3314	0.73789	0.33385	0.81019	0.20653	0.47689	0.30707	0.71532	0.24918	0.15704	0.03669	0.1579	0.123	0	0	0	0	0.00851	0.06612	0.04218	0.29741	0.08631	0	0	0	0	0.88323	2.65691	1.075	1.34613	0.02002	0.48896	2.00702	0	0.83157	0.54014	0.96802	0.12741	0.03288	0	0.05082	0	0.06168	0	0	0.19901	0	0	0	0	0	0	0	0	0.26913	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_thaueri	0	0	0.00228	0.0245	0	0.06332	0.01381	0.46586	0	0.45175	0	0.07238	0.07894	0	0.56674	0.15681	0.88664	0	1.6005	1.00205	0	0	0.94286	0	0.01576	0.23562	0.13379	1.07846	0.28169	1.70449	0.0587	0	0	0.38885	0	0	0	0.1584	0	0.09232	0.01738	0	2.28379	0.25839	2.10451	0	0.01048	0.80282	0.54106	0	0	0.14022	0.48907	0.3298	0.20529	0.83003	0.74232	0	0.07379	0.20917
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_barengoltzii	0	0	0	0	0.00643	0	0	0	0	0.37539	0	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_sp_RM12175	0	0	0	0.04612	0	0	0	0	0.05327	0.35475	0	2.07406	0	0	0.01054	8.72559	0.06689	0	0	0	0.12073	0.63986	0.17426	13.84528	0.76993	0	0	19.15258	0	0	0	0	0.03566	0	1.27301	0	0	0.01637	0	0	0	0	0.01368	0	0	0	0.6361	3.17192	0	0.10761	0	0.18538	0	2.42204	0.08913	0	0	0.47737	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB38298|o__OFGB38298|f__FGB38298|g__GGB56465|s__GGB56465_SGB77878	0.91057	0	0.24733	0	0	0.39371	0.00948	0.00887	0.00698	0.35275	0	0	0.00461	0	0	2.38971	0	0	1.14628	0	0	2.27445	2.36549	1.79229	0	0	0.47721	0	0.14034	3.23732	0.00304	0	0.40941	1.61663	0.84771	0	0.00704	5.03046	0.2432	0	0.02845	0	1.8368	0.23197	2.80737	0	9.18933	3.9898	0.02261	1.45286	10.37451	2.28147	0.26221	0	5.28056	0	1.08433	0	1.09617	1.00537
k__Bacteria|p__Bacteroidetes|c__CFGB7946|o__OFGB7946|f__FGB7946|g__GGB24770|s__GGB24770_SGB36663	0	2.37094	0.43476	0	0	0	0	0	0	0.31517	0	0	0	0.00966	0.3311	0.59473	0	0.1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.28006	0	0	0	0	0	0	0	0	0.22409	0.01498	0	0	0	0.34469	0.27077	0
k__Bacteria|p__Bacteroidetes|c__CFGB37281|o__OFGB37281|f__FGB37281|g__GGB56310|s__GGB56310_SGB77713	0.2846	3.26973	0.20674	0	0.01781	0	0	0	0	0.30643	0.40137	0.36432	0.84503	0.00192	0.29452	0	0	0.67767	0	0	0	0	0	0	0	0	0	0.13865	0	2.31151	0	0	0	1.49021	0.2209	0	0.00937	0.08944	0	0	0	0	0	0	0.34207	0	0	0.081	0	0	0.12375	0	0	0	0.00844	0	0.11822	0.0171	0	0.24511
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_megaterium	0	0	0	0	0	0	0	0	0	0.2993	0	0.05419	0.01713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15258	0	0	0.03407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB8214|o__OFGB8214|f__FGB8214|g__GGB25232|s__GGB25232_SGB37168	0	0	0	0.09329	0	0.00857	0.32463	0.06287	8.56571	0.29416	1.03941	0.49245	0.10424	0.86489	0.02469	0.92838	0.63547	0	1.33678	0.17534	1.18945	0	1.05702	0.01456	1.5551	0.43193	1.55197	0.67384	0.93118	0.42907	0.17937	1.07176	0.11292	0	0.18696	0.02202	0	0	0.00604	0.16167	0.01029	1.21253	0	0.05652	0	0.04722	0	0.23655	0.24681	0.15943	0	0.09844	0.04044	0	0	0.51611	0.44165	0.01766	0.81106	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium_NK3D112	0	0	0	0	0	0	0	0	1.08866	0.2753	0.33884	0.08356	0.05769	0.09148	0	0.02282	0.79545	0	0.06244	0.02816	0.4515	0.03726	0.16551	0	0.29581	0.11093	0.5354	0.30418	0.03129	0.11092	0	0	0	0	0	0	0	0	0	0	0	0.06826	0.28128	0.10083	0.02296	0.47389	0	0.02784	0.11884	0	0.07157	0	0	0	0	0.14791	0.07916	0.22794	0	0.00256
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_circulans	0	0	0	0	0	0	0	0	0.01897	0.25256	0	0.16627	0.12179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25807	0	0	0.11247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02485	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium	0.00839	1.07233	0.00354	1.34361	0.04001	0.14132	0.00537	0.00302	0.00657	0.2481	0.12135	0.32222	0.18741	0.00457	3.84337	0.33404	8.41469	2.12793	0.9321	4.68765	1.18753	0	1.05857	1.61005	0.00555	0.01057	0.01068	1.00238	0.62797	4.32677	0	1.81694	0.18584	4.66273	12.79414	0.01599	0.1676	3.61101	0.63727	0.12593	0	0.06831	0.00057	6.86721	2.04499	1.89748	0.16644	0.49871	2.55497	0.678	0.01239	0	0.58661	2.99511	1.43799	3.45257	0.42291	0.19438	0.06261	1.77389
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_boronitolerans	0.01498	0	0.08616	0	0.51734	0	0	0	0	0.24335	0	0.34382	0.14853	0	0.30287	0	0	0	0.05958	0.00636	0	0	0.11463	0.33947	0	0	0	0.1113	0	0.22866	0	0.13018	0	0.93581	2.99839	0	0.57933	0.41087	0.10128	0	0	0	0	0	0.06036	0.21836	0.48349	0.23542	0	0.01557	0	0.11049	0.1204	0	0.08398	0	0	0	0.10553	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Ornithinibacillus|s__Ornithinibacillus_scapharcae	0	0	0	0	0	0	0	0	0	0.23246	0	0.10176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02675	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus|s__Solibacillus_silvestris	0	0	0.06709	0	0.72517	0	0	0	0.20962	0.20306	0	0.65596	0.30643	0	2.42689	0.11992	1.57672	1.99133	0.65812	0.4621	0.00666	0	0.20611	2.42555	0	0	0	0.20776	0	0.97903	0	1.56366	0	4.54964	6.76038	0	0.70503	0.4349	0.45173	0	0	0	0	0	0.91975	0.77263	1.15169	0.67445	0	0.5145	0.07833	0.23775	0.57932	0	0.14097	0.84761	0	0	1.11852	0.37867
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119|f__FGB9119|g__GGB31634|s__GGB31634_SGB44980	0	0	0	0	0	0	0	0	0	0.17983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9714|o__OFGB9714|f__FGB9714|g__GGB58216|s__GGB58216_SGB79863	0.16688	7.50713	0.01934	0	0.02694	0	0	0.01559	0	0.16165	0	0.11775	0	0	0.00359	0	0.81069	0	0	0	0	0	0	0.16092	0	0	0	0	0	0	0.01122	0	0	4.82947	0.63642	0	0	0.1562	0	0	0.04678	0	0	0.19583	0	0.16303	0	0	0	0.12179	0	0	0.18336	0	0.02501	0	0.01502	0	0.85172	0
k__Bacteria|p__Firmicutes|c__CFGB8351|o__OFGB8351|f__FGB8351|g__GGB25566|s__GGB25566_SGB37532	0	0	0	0	0	0	0	0	0	0.1506	0	0	0.02845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	2.89324	0	0.31835	0.54433	0	0.75819	1.17425	0	0	0.14537	0.01475	0.33005	0.01609	0.05179	0.38245	0.74782	0.85605	0.48909	0.06185	0	0.194	0	0.5769	0.28074	0.05984	0.12328	0.02167	0	0.0236	0	0.17043	0	0.36414	0	0.19835	0.04696	0.53351	0.14048	0	0.30154	0	0	0.44852	0.25976	0.39641	0.01567	0.11522	0	0.03614	0.08544	1.43234	0.17464	0.31422	0.29167	0.07899	0	0.28559	0.52769	0.17017	0.43092
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_D12	0	4.26867	0.00754	0	0.23693	0	0	0	0	0.1211	0	0	0	0	0.04091	0	0.44919	0.13135	1.15266	0.28731	0.33514	0	0	0.5176	0	0	0	0.0045	0	0.23573	0	0.29157	0	0.0574	0.31063	0	0.06187	0.48507	0	0	0	0	0	0.21168	0	0.21706	1.06851	0.23846	0	0.34995	0.08405	1.43177	0.70926	0	0.11659	0.01735	0	0	0.66067	0.10421
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119|f__FGB9119|g__GGB31623|s__GGB31623_SGB44968	0	0	0	0	0	0	0	0	1.99695	0.11743	0.1215	0.23305	0.21032	0.00601	0	0	0	0	0	0	0.23853	0	0	0	0	0	0	0.06715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02915	0	0.04695	0.00118	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9504|o__OFGB9504|f__FGB9504|g__GGB58235|s__GGB58235_SGB79886	0.0461	0	0	0.13744	0.02352	0.0025	0.81739	0	0.04875	0.11664	0.01004	0.01073	0.09761	0.05316	0.2845	0.37981	1.12518	0.34096	0.60248	0.24433	0.90176	0.7014	0.39601	0.39517	0.22692	0.05782	0.64369	0.55113	0.29027	0.96914	0	0.20622	0.39426	0.35313	0.33044	0.0784	0.45495	0.13152	0	0	0	0.07486	0.06946	0.29904	0.81147	0.2361	0.51015	0.60634	0.12357	1.02123	0.92616	0.36054	0.40391	0.46925	0.16746	1.62223	0.28812	0.07771	0.55309	4.8193
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_mundtii	0	0	0	0	0	0.03213	0	0	0	0.10329	0	0	0	0	0	0	0	0	0	0	0	0.0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Ornithinibacillus|s__Ornithinibacillus_sp_BX22	0	0	0	0	0	0	0	0	0	0.1027	0	0.02981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus|s__Rummeliibacillus_sp_POC4	3.67448	0	0.20093	0.0188	0.02581	1.15602	1.93915	0	2.98721	0.09599	0.47793	0.06837	2.4441	0.0881	0	0	0	0.33285	0	0	0	0	0.03475	0	0.01931	0	0	0	0	0	0	4.52585	1.068	0	0.02689	0	0.68199	0.20081	0.0628	0	0	1.60594	0	0	0	0	0.10009	0.04649	0	0	0	0	0	0	0.02808	0.1873	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_AGMB_02131	0	0	0	0	0.00136	0	0	0	0	0.09593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01218	0
